MARGm,COMMc,REGs,REGd,Value
svces,crops,asa,asa,0.01
svces,crops,asa,eit,0.02
svces,crops,asa,lam,0.03
svces,crops,asa,maf,0.04
svces,crops,asa,oecd,0.05
svces,crops,eit,asa,0.06
svces,crops,eit,eit,0.07
svces,crops,eit,lam,0.08
svces,crops,eit,maf,0.09
svces,crops,eit,oecd,0.1
svces,crops,lam,asa,0.11
svces,crops,lam,eit,0.12
svces,crops,lam,lam,0.13
svces,crops,lam,maf,0.14
svces,crops,lam,oecd,0.15
svces,crops,maf,asa,0.16
svces,crops,maf,eit,0.17
svces,crops,maf,lam,0.18
svces,crops,maf,maf,0.19
svces,crops,maf,oecd,0.2
svces,crops,oecd,asa,0.21
svces,crops,oecd,eit,0.22
svces,crops,oecd,lam,0.23
svces,crops,oecd,maf,0.24
svces,crops,oecd,oecd,0.25
svces,food,asa,asa,0.26
svces,food,asa,eit,0.27
svces,food,asa,lam,0.28
svces,food,asa,maf,0.29
svces,food,asa,oecd,0.3
svces,food,eit,asa,0.31
svces,food,eit,eit,0.32
svces,food,eit,lam,0.33
svces,food,eit,maf,0.34
svces,food,eit,oecd,0.35
svces,food,lam,asa,0.36
svces,food,lam,eit,0.37
svces,food,lam,lam,0.38
svces,food,lam,maf,0.39
svces,food,lam,oecd,0.4
svces,food,maf,asa,0.41
svces,food,maf,eit,0.42
svces,food,maf,lam,0.43
svces,food,maf,maf,0.44
svces,food,maf,oecd,0.45
svces,food,oecd,asa,0.46
svces,food,oecd,eit,0.47
svces,food,oecd,lam,0.48
svces,food,oecd,maf,0.49
svces,food,oecd,oecd,0.5
svces,frs,asa,asa,0.51
svces,frs,asa,eit,0.52
svces,frs,asa,lam,0.53
svces,frs,asa,maf,0.54
svces,frs,asa,oecd,0.55
svces,frs,eit,asa,0.56
svces,frs,eit,eit,0.57
svces,frs,eit,lam,0.58
svces,frs,eit,maf,0.59
svces,frs,eit,oecd,0.6
svces,frs,lam,asa,0.61
svces,frs,lam,eit,0.62
svces,frs,lam,lam,0.63
svces,frs,lam,maf,0.64
svces,frs,lam,oecd,0.65
svces,frs,maf,asa,0.66
svces,frs,maf,eit,0.67
svces,frs,maf,lam,0.68
svces,frs,maf,maf,0.69
svces,frs,maf,oecd,0.7
svces,frs,oecd,asa,0.71
svces,frs,oecd,eit,0.72
svces,frs,oecd,lam,0.73
svces,frs,oecd,maf,0.74
svces,frs,oecd,oecd,0.75
svces,livestock,asa,asa,0.76
svces,livestock,asa,eit,0.77
svces,livestock,asa,lam,0.78
svces,livestock,asa,maf,0.79
svces,livestock,asa,oecd,0.8
svces,livestock,eit,asa,0.81
svces,livestock,eit,eit,0.82
svces,livestock,eit,lam,0.83
svces,livestock,eit,maf,0.84
svces,livestock,eit,oecd,0.85
svces,livestock,lam,asa,0.86
svces,livestock,lam,eit,0.87
svces,livestock,lam,lam,0.88
svces,livestock,lam,maf,0.89
svces,livestock,lam,oecd,0.9
svces,livestock,maf,asa,0.91
svces,livestock,maf,eit,0.92
svces,livestock,maf,lam,0.93
svces,livestock,maf,maf,0.94
svces,livestock,maf,oecd,0.95
svces,livestock,oecd,asa,0.96
svces,livestock,oecd,eit,0.97
svces,livestock,oecd,lam,0.98
svces,livestock,oecd,maf,0.99
svces,livestock,oecd,oecd,1
svces,mnfcs,asa,asa,1.01
svces,mnfcs,asa,eit,1.02
svces,mnfcs,asa,lam,1.03
svces,mnfcs,asa,maf,1.04
svces,mnfcs,asa,oecd,1.05
svces,mnfcs,eit,asa,1.06
svces,mnfcs,eit,eit,1.07
svces,mnfcs,eit,lam,1.08
svces,mnfcs,eit,maf,1.09
svces,mnfcs,eit,oecd,1.1
svces,mnfcs,lam,asa,1.11
svces,mnfcs,lam,eit,1.12
svces,mnfcs,lam,lam,1.13
svces,mnfcs,lam,maf,1.14
svces,mnfcs,lam,oecd,1.15
svces,mnfcs,maf,asa,1.16
svces,mnfcs,maf,eit,1.17
svces,mnfcs,maf,lam,1.18
svces,mnfcs,maf,maf,1.19
svces,mnfcs,maf,oecd,1.2
svces,mnfcs,oecd,asa,1.21
svces,mnfcs,oecd,eit,1.22
svces,mnfcs,oecd,lam,1.23
svces,mnfcs,oecd,maf,1.24
svces,mnfcs,oecd,oecd,1.25
svces,svces,asa,asa,1.26
svces,svces,asa,eit,1.27
svces,svces,asa,lam,1.28
svces,svces,asa,maf,1.29
svces,svces,asa,oecd,1.3
svces,svces,eit,asa,1.31
svces,svces,eit,eit,1.32
svces,svces,eit,lam,1.33
svces,svces,eit,maf,1.34
svces,svces,eit,oecd,1.35
svces,svces,lam,asa,1.36
svces,svces,lam,eit,1.37
svces,svces,lam,lam,1.38
svces,svces,lam,maf,1.39
svces,svces,lam,oecd,1.4
svces,svces,maf,asa,1.41
svces,svces,maf,eit,1.42
svces,svces,maf,lam,1.43
svces,svces,maf,maf,1.44
svces,svces,maf,oecd,1.45
svces,svces,oecd,asa,1.46
svces,svces,oecd,eit,1.47
svces,svces,oecd,lam,1.48
svces,svces,oecd,maf,1.49
svces,svces,oecd,oecd,1.5
